Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
968827,"Where Late the Sweet Birds Sang","Kate Wilhelm","Wilhelm, Kate","M.C. Escher",="0060146540",="9780060146542",0,"3.87","Harper and Row (NY)","Hardcover","213",1977,1976,,2010/10/09,"to-check, science-fiction, maison","to-check (#204), science-fiction (#266), maison (#375)","to-check",,"",,,,,0,,,,,
106924,"The Glamour","Christopher Priest","Priest, Christopher","",="0575075791",="9780575075795",4,"3.82","Gollancz / Orion","Paperback","235",2005,1984,,2010/10/09,"fantastique, maison","fantastique (#3), maison (#461)","read",,"",,,,,0,,,,,
33549,"The Shrinking Man","Richard Matheson","Matheson, Richard","",="0575074639",="9780575074637",0,"3.80","Gollancz / Orion ","Paperback","201",2002,1956,,2010/10/09,"science-fiction, to-check, maison","science-fiction (#155), to-check (#119), maison (#292)","to-check",,"",,,,,0,,,,,
250024,"The City and the Stars","Arthur C. Clarke","Clarke, Arthur C.","",="1857987632",="9781857987638",0,"4.00","Gollancz","Paperback","254",2001,1956,,2010/10/09,"to-check, science-fiction, maison","to-check (#52), science-fiction (#68), maison (#225)","to-check",,"",,,,,0,,,,,
77418,"Ringworld Engineers","Larry Niven","Niven, Larry","",="0345260090",="9780345260093",4,"3.74","Del Rey","Mass Market Paperback","355",1985,1979,,2010/10/09,"science-fiction, maison","science-fiction (#333), maison (#148)","read","","",,,,,0,,,,,
22200,"Count Zero (Sprawl, #2)","William Gibson","Gibson, William","",="0441013678",="9780441013678",3,"3.91","Ace Books","Paperback","308",2006,1986,,2010/10/09,"science-fiction, maison","science-fiction (#107), maison (#168)","read",,"",,,,,0,,,,,
872586,"The Crucible of Time","John Brunner","Brunner, John","",="0345312244",="9780345312242",0,"3.67","Ballantine Books (NY)","Hardcover","304",1983,1983,,2010/10/09,"to-check, science-fiction, maison","to-check (#30), science-fiction (#48), maison (#450)","to-check",,"",,,,,0,,,,,
872531,"The Pollinators of Eden","Boyd Bradfield Upchurch","Upchurch, Boyd Bradfield","John Boyd",="0140048766",="9780140048766",0,"2.77","Penguin Books","Paperback","212",1978,1969,,2010/10/09,"to-check, science-fiction, maison","to-check (#28), science-fiction (#45), maison (#449)","to-check",,"",,,,,0,,,,,
872518,"The Last Starship from Earth","Boyd Bradfield Upchurch","Upchurch, Boyd Bradfield","John Boyd",="0140048758",="9780140048759",0,"3.47","Penguin Books","Paperback","182",1978,1968,,2010/10/09,"to-check, science-fiction, maison","to-check (#27), science-fiction (#44), maison (#448)","to-check",,"",,,,,0,,,,,
2953179,"Journey Beyond Tomorrow","Robert Sheckley","Sheckley, Robert","",="0575003510",="9780575003514",0,"3.36","Gollancz","Hardcover","189",1962,1962,,2010/10/09,"to-check, science-fiction, maison","to-check (#161), science-fiction (#203), maison (#330)","to-check",,"",,,,,0,,,,,
13323802,"Illegal Alien","Robert J. Sawyer","Sawyer, Robert J.","",="1937007219",="9781937007218",0,"3.75","Ace","Paperback","352",2011,1997,,2010/10/09,"to-check, science-fiction, maison","to-check (#158), science-fiction (#200), maison (#327)","to-check",,"",,,,,0,,,,,
112517,"Rama Revealed (Rama, #4)","Arthur C. Clarke","Clarke, Arthur C.","Gentry Lee",="1857232526",="9781857232523",0,"3.56",,,"",,1993,,2010/10/10,"to-check, science-fiction, maison","to-check (#246), science-fiction (#421), maison (#201)","to-check",,"",,,,,0,,,,,
834538,"Exile's Gate (Morgaine Saga, #4)","C.J. Cherryh","Cherryh, C.J.","",="0886772540",="9780886772543",0,"4.02","DAW","Paperback","414",1988,1988,,2010/10/09,"to-check, science-fiction, maison","to-check (#40), science-fiction (#58), maison (#217)","to-check",,"",,,,,0,,,,,
24827,"Ship of Fools","Richard Paul Russo","Russo, Richard Paul","",="0441008933",="9780441008933",4,"3.70","Ace","Paperback","370",2001,2001,2011/03/05,2011/03/20,"science-fiction, maison","science-fiction (#476), maison (#475)","read",,"",,,,,0,,,,,
939190,"Other Days, Other Eyes","Bob Shaw","Shaw, Bob","",="0330238930",="9780330238939",0,"3.82","Pan","Mass Market Paperback","158",1974,1972,,2010/10/09,"to-check, science-fiction, maison","to-check (#159), science-fiction (#201), maison (#328)","to-check",,"",,,,,0,,,,,
680455,"Greenhouse Summer","Norman Spinrad","Spinrad, Norman","",="0312867999",="9780312867997",0,"3.22","Tor Books","Hardcover","320",1999,1999,,2010/10/09,"to-check, science-fiction, maison","to-check (#181), science-fiction (#231), maison (#416)","to-check","","",,,,,0,,,,,
1975477,"The Solarians","Norman Spinrad","Spinrad, Norman","",="0722180853",="9780722180853",4,"3.27",,,"",,1966,2011/03/24,2011/03/20,"maison, science-fiction","maison (#479), science-fiction (#480)","read",,"",,,,,0,,,,,
633190,"The Men in the Jungle","Norman Spinrad","Spinrad, Norman","",="0843904542",="9780843904543",0,"3.72","Leisure Books","Mass Market Paperback","0",1966,1966,,2010/10/09,"to-check, science-fiction, maison","to-check (#184), science-fiction (#234), maison (#353)","to-check",,"",,,,,0,,,,,
519827,"Dreamfall (Cat, #3)","Joan D. Vinge","Vinge, Joan D.","",="0765303426",="9780765303424",0,"3.83","Tor Books","Paperback","432",2004,1996,,2010/10/09,"to-check, science-fiction, maison","to-check (#198), science-fiction (#256), maison (#369)","to-check",,"",,,,,0,,,,,
181010,"The Dark Side of the Sun","Terry Pratchett","Pratchett, Terry","",="0552133264",="9780552133265",0,"3.39","Corgi","Paperback","159",2002,1978,,2010/10/09,"to-check, fantaisie, maison","to-check (#144), fantaisie (#1), maison (#5)","to-check",,"",,,,,0,,,,,
580192,"Factoring Humanity","Robert J. Sawyer","Sawyer, Robert J.","",="0765309033",="9780765309037",0,"3.75","Orb Books","Paperback","336",2003,1998,,2010/10/09,"to-check, science-fiction, maison","to-check (#155), science-fiction (#196), maison (#324)","to-check",,"",,,,,0,,,,,
5374353,"Arc of the Dream (Radix, #3)","A.A. Attanasio","Attanasio, A.A.","",="1604502630",="9781604502633",0,"3.47","Phoenix Pick","Paperback","204",2008,1986,,2010/10/09,"to-check, science-fiction, maison","to-check (#8), science-fiction (#15), maison (#431)","to-check",,"",,,,,0,,,,,
11222454,"De nieuwe stad in vlammen","Walter Jon Williams","Williams, Walter Jon","",="9029055790",="",5,"3.97","Meulenhoff","Paperback","496",1998,1997,,2010/10/09,"science-fiction, maison","science-fiction (#268), maison (#149)","read","","",,,,,0,,,,,
468162,"The Dirdir","Jack Vance","Vance, Jack","",="0234773073",="9780234773079",4,"4.01",,,"",,1969,,2010/10/10,"science-fiction, maison","science-fiction (#357), maison (#190)","read",,"",,,,,0,,,,,
2414039,"Servants of the Wankh (Planet of Adventure, #2)","Jack Vance","Vance, Jack","",="0879974672",="9780879974671",4,"3.92","DAW","Paperback","154",1979,1969,,2010/10/10,"maison, science-fiction","maison (#514), science-fiction (#504)","read",,"",,,,,0,,,,,
453973,"In Alien Flesh","Gregory Benford","Benford, Gregory","",="0812531760",="9780812531763",5,"3.51","Tor Books","Mass Market Paperback","288",1988,1986,,2010/10/09,"science-fiction, maison","science-fiction (#36), maison (#38)","read",,"",,,,,0,,,,,
451040,"Jack And The Beanstalk (Matthew Hope, #4)","Ed McBain","McBain, Ed","",="0030621976",="9780030621970",0,"3.75","Holt McDougal","Hardcover","250",1984,1984,,2010/10/09,"to-check, science-fiction, maison","to-check (#123), science-fiction (#159), maison (#296)","to-check",,"",,,,,0,,,,,
9219439,"Strangers","Gardner R. Dozois","Dozois, Gardner R.","",="0425039242",="9780425039243",0,"3.46","Berkley Medallion","Mass Market Paperback","166",1978,1978,,2010/10/09,"to-check, science-fiction, maison","to-check (#70), science-fiction (#90), maison (#245)","to-check",,"",,,,,0,,,,,
382253,"Hormone Jungle: Cost","Stephen M. Reed","Reed, Stephen M.","",="0445207450",="9780445207455",3,"3.37","Warner Books","Hardcover","304",1989,1989,2011/04/18,2011/03/20,"maison, science-fiction","maison (#481), science-fiction (#482)","read",,"",,,,,0,,,,,
116417,"Mysterium","Robert Charles Wilson","Wilson, Robert Charles","",="0553569538",="9780553569537",5,"3.44","Bantam Books","Mass Market Paperback","320",1995,1994,,2010/10/09,"science-fiction, maison","science-fiction (#273), maison (#145)","read","","",,,,,0,,,,,
352124,"Project Pope","Clifford D. Simak","Simak, Clifford D.","",="0283988819",="9780283988813",0,"3.60","New English Library (London)","Paperback","",1982,1981,,2010/10/09,"to-check, science-fiction, maison","to-check (#178), science-fiction (#224), maison (#348)","to-check",,"",,,,,0,,,,,
1974442,"Time And Again","Clifford D. Simak","Simak, Clifford D.","",="041337680x",="9780413376800",3,"3.82","Magnum Books","Mass market paperback","255",1977,1951,2011/05/03,2011/04/16,"maison, science-fiction","maison (#480), science-fiction (#481)","read",,"",,,,,0,,,,,
341349,"Le Temps N'a Pas D'odeur","Gérard Klein","Klein, Gérard","",="2207300633",="9782207300633",0,0.0,,,"",,,,2010/10/09,"science-fiction, to-check, maison","science-fiction (#136), to-check (#104), maison (#412)","to-check","","",,,,,0,,,,,
337052,"Distance Haze","Jamil Nasir","Nasir, Jamil","",="0553579959",="9780553579956",0,"3.08","Spectra","Mass Market Paperback","288",2000,2000,,2010/10/09,"to-check, science-fiction, maison","to-check (#132), science-fiction (#169), maison (#303)","to-check",,"",,,,,0,,,,,
1289913,"Némésis","Isaac Asimov","Asimov, Isaac","",="2266150952",="9782266150958",5,"3.61",,,"",,1989,2011/01/07,2011/01/07,"science-fiction, maison","science-fiction (#479), maison (#477)","read",,"",,,,,0,,,,,
293292,"The Widowmaker","Mike Resnick","Resnick, Mike","",="0553571605",="9780553571608",4,"3.64","Spectra","Paperback","304",1996,1996,,2010/10/10,"science-fiction, maison","science-fiction (#405), maison (#193)","read",,"",,,,,0,,,,,
264941,"Frameshift","Robert J. Sawyer","Sawyer, Robert J.","",="0765313162",="9780765313164",0,"3.68","Tor Books","Paperback","352",1997,1997,,2010/10/09,"to-check, science-fiction, maison","to-check (#157), science-fiction (#198), maison (#326)","to-check",,"",,,,,0,,,,,
264499,"A Million Open Doors","John Barnes","Barnes, John","",="0812516338",="9780812516333",0,"3.68","Tor","Paperback","320",1993,1992,,2010/10/09,"to-check, science-fiction, maison","to-check (#18), science-fiction (#30), maison (#439)","to-check",,"",,,,,0,,,,,
263496,"Flight of the Dragonfly","Robert L. Forward","Forward, Robert L.","",="0671559370",="9780671559373",5,"3.48","Baen","Paperback","384",1985,1984,,2010/10/09,"science-fiction, maison","science-fiction (#98), maison (#41)","read",,"",,,,,0,,,,,
234501,"Startide Rising (The Uplift Saga, #2)","David Brin","Brin, David","",="055327418X",="9780553274189",5,"4.00","Random House Publishing Group","Paperback","458",1984,1983,,2010/10/09,"science-fiction, maison, favorites","science-fiction (#367), maison (#66), favorites (#4)","read",,"",,,,,0,,,,,
7898756,"Les Années Fléaux","Norman Spinrad","Spinrad, Norman","",="2207505065",="9782207505069",0,"4.07","Denoël","Hardcover","320",1996,1990,,2010/10/09,"to-check, science-fiction, maison","to-check (#185), science-fiction (#235), maison (#354)","to-check",,"",,,,,0,,,,,
1013785,"Cradle","Arthur C. Clarke","Clarke, Arthur C.","Gentry Lee",="0446356018",="9780446356015",0,"3.31","Warner Books","Paperback","408",1989,1988,,2010/10/09,"to-check, science-fiction, maison","to-check (#53), science-fiction (#70), maison (#226)","to-check",,"",,,,,0,,,,,
837039,"Empire of the Ants (La Saga des Fourmis, #1)","Bernard Werber","Werber, Bernard","",="0553573527",="9780553573527",0,"3.91","Bantam","Mass Market Paperback","320",1999,1991,,2010/10/10,"to-check, science-fiction, maison","to-check (#243), science-fiction (#417), maison (#198)","to-check",,"",,,,,0,,,,,
898561,"Manhattan Transfer","John E. Stith","Stith, John E.","",="0812519523",="9780812519525",4,"3.48","Tor Books","Mass Market Paperback","",,,,2010/10/09,"science-fiction, maison","science-fiction (#239), maison (#177)","read",,"",,,,,0,,,,,
126144,"Star of the Unborn","Franz Werfel","Werfel, Franz","",="0553079158",="9780553079159",0,"3.79",,,"627",,1946,,2010/10/09,"to-check, science-fiction, maison","to-check (#203), science-fiction (#265), maison (#374)","to-check",,"",,,,,0,,,,,
116415,"The Harvest","Robert Charles Wilson","Wilson, Robert Charles","",="0553292218",="9780553292213",4,"3.65","Spectra","Mass Market Paperback","448",1994,1992,,2010/10/09,"science-fiction, maison","science-fiction (#272), maison (#93)","read","","",,,,,0,,,,,
939078,"The Ophiuchi Hotline","John Varley","Varley, John","",="0440158907",="9780440158905",0,"3.79","Dell Publishing Company","Mass Market Paperback","237",,1977,,2010/10/09,"to-check, science-fiction, maison","to-check (#194), science-fiction (#251), maison (#365)","to-check",,"",,,,,0,,,,,
57100,"Merchanter's Luck (Company Wars, #2)","C.J. Cherryh","Cherryh, C.J.","",="0886771390",="9780886771393",0,"3.97","DAW","Paperback","448",1982,1982,,2010/10/09,"to-check, science-fiction, maison","to-check (#44), science-fiction (#63), maison (#221)","to-check",,"",,,,,0,,,,,
57099,"Rider at the Gate (Finisterre, Book 1)","C.J. Cherryh","Cherryh, C.J.","",="0446603457",="9780446603454",0,"3.84","Aspect","Paperback","496",1996,,,2010/10/09,"to-check, science-fiction, maison","to-check (#43), science-fiction (#62), maison (#220)","to-check",,"",,,,,0,,,,,
57067,"Tripoint (Company Wars, #6)","C.J. Cherryh","Cherryh, C.J.","",="0446602027",="9780446602020",0,"3.83","Aspect","Paperback","361",1995,1983,,2010/10/09,"to-check, science-fiction, maison","to-check (#42), science-fiction (#61), maison (#219)","to-check",,"",,,,,0,,,,,
4617369,"Les Tueurs de Temps","Gérard Klein","Klein, Gérard","",="2253072540",="9782253072546",0,"3.57","Livre de Poche","Paperback","",2003,1965,,2010/10/09,"to-check, science-fiction, maison","to-check (#105), science-fiction (#137), maison (#411)","to-check","","",,,,,0,,,,,
7799610,"Convaincre En Deux Coups De Crayon (French Edition)","Dan Roam","Roam, Dan","Anne Rémond",="2710120542",="9782710120544",4,"3.84",,,"",,2008,2011/12/15,2011/08/14,"maison, technique","maison (#491), technique (#5)","read",,"",,,,,0,,,,,
8686650,"Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation","David  Farley","Farley, David","Jez Humble",="0321601912",="9780321601919",0,"4.18","Addison-Wesley Professional","Hardcover","463",2010,2010,,2012/01/13,"currently-reading, maison, technique","currently-reading (#7), maison (#508), technique (#10)","currently-reading",,"",,,,,0,,,,,
7382923,"iPhone Programming: The Big Nerd Ranch Guide (Big Nerd Ranch Guides)","Joe Conway","Conway, Joe","Aaron Hillegass",="0321706242",="9780321706249",0,"4.53","Addison-Wesley Professional","Paperback","432",2010,2010,,2012/01/13,"currently-reading, maison, technique","currently-reading (#6), maison (#509), technique (#11)","currently-reading",,"",,,,,0,,,,,
7703321,"Gimp 2.6 (French Edition)","Dimitri Robert","Robert, Dimitri","Cédric Gémy",="2212124805",="9782212124804",3,"3.00",,,"",,,2012/01/06,2011/08/15,"maison, technique","maison (#495), technique (#7)","read",,"",,,,,0,,,,,
6540175,"L'ere des Gladiateurs","Frederik Pohl","Pohl, Frederik","",="2266025074",="9782266025072",0,"3.44",,,"",,1955,,2010/10/09,"to-check, science-fiction, maison","to-check (#140), science-fiction (#179), maison (#312)","to-check",,"",,,,,0,,,,,
108986,"Introduction to Algorithms","Thomas H. Cormen","Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",="0262032937",="9780262032933",0,"4.22","MIT Press (MA)","Hardcover","1202",2001,1990,,2011/12/16,"to-read","to-read (#9)","to-read",,"",,,,,0,,,,,
3735293,"Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","Martin, Robert C.","",="0132350882",="9780132350884",0,"4.30","Prentice Hall PTR","Paperback","434",2008,2007,,2011/12/16,"to-read","to-read (#8)","to-read",,"",,,,,0,,,,,
4099,"The Pragmatic Programmer: From Journeyman to Master","Andrew Hunt","Hunt, Andrew","David Thomas",="020161622X",="9780201616224",0,"4.33","Addison-Wesley Professional","Paperback","352",1999,1999,,2011/12/16,"to-read","to-read (#7)","to-read",,"",,,,,0,,,,,
227120,"Linux Kernel Development  ","Robert  M. Love","Love, Robert M.","",="0672327201",="9780672327209",0,"4.34","Novell Press","Paperback","432",2005,,,2011/12/16,"to-read","to-read (#5)","to-read",,"",,,,,0,,,,,
44882,"Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","Petzold, Charles","",="0735611319",="9780735611313",0,"4.34","Microsoft Press","Paperback","400",2000,1999,,2011/12/16,"to-read","to-read (#6)","to-read",,"",,,,,0,,,,,
43713,"Structure and Interpretation of Computer Programs (MIT Electrical Engineering and Computer Science)","Harold Abelson","Abelson, Harold","Gerald Jay Sussman, Julie Sussman",="0262510871",="9780262510875",0,"4.53","MIT Press (MA)","Paperback","657",1996,1984,,2011/12/16,"to-read","to-read (#4)","to-read",,"",,,,,0,,,,,
5134238,"Diamond Dogs, Turquoise Days","Alastair Reynolds","Reynolds, Alastair","",="2266145371",="9782266145374",5,"3.85",,,"",,2002,,2010/10/09,"science-fiction, maison, favorites","science-fiction (#354), maison (#21), favorites (#2)","read",,"",,,,,0,,,,,
6184052,"Indomptable (La flotte perdue, #1)","Jack Campbell","Campbell, Jack","Frank Reichert",="2841724069",="9782841724062",5,"3.87","L'atalante","Paperback","384",2008,2006,2011/12/10,2011/12/03,"maison, science-fiction","maison (#503), science-fiction (#495)","read",,"",,,,,0,,,,,
8623173,"La Pluie Du Siècle","Alastair Reynolds","Reynolds, Alastair","Dominique Haas",="2266191438",="9782266191432",5,"3.77","Pocket",,"862",2010,2005,2011/11/30,2011/10/23,"maison, science-fiction","maison (#502), science-fiction (#494)","read",,"",,,,,0,,,,,
7171856,"The Puppet Masters","Robert A. Heinlein","Heinlein, Robert A.","",="143913376X",="9781439133767",0,"3.77","Baen","Mass Market Paperback","368",2010,1951,,2010/10/09,"to-check, science-fiction, maison","to-check (#94), science-fiction (#122), maison (#269)","to-check",,"",,,,,0,,,,,
7033445,"Blind Lake","Robert Charles Wilson","Wilson, Robert Charles","Gilles Goullet",="2070360695",="9782070360697",5,"3.60","","Mass Market Paperback","478",2009,2003,2011/10/24,2011/10/16,"maison, science-fiction","maison (#501), science-fiction (#493)","read",,"",,,,,0,,,,,
6219087,"Carbone Modifié (Takeshi Kovacs, #1)","Richard K. Morgan","Morgan, Richard K.","",="2811200584",="9782811200589",4,"4.10","Milady","Paperback","571",2008,2001,2011/10/22,2011/09/09,"maison, science-fiction","maison (#499), science-fiction (#491)","read",,"",,,,,0,,,,,
122370,"L'aube De Fondation","Isaac Asimov","Asimov, Isaac","",="2266067338",="9782266067331",0,"3.95",,,"",,1993,,2010/10/09,"to-check, maison, science-fiction","to-check (#252), maison (#462), science-fiction (#442)","to-check","","",,,,,0,,,,,
3789269,"Mondes Et Démons","Juan Miguel Aguilera","Aguilera, Juan Miguel","",="2846260834",="9782846260831",4,"3.75","Au diable vauvert",,"552",2005,2005,2011/09/09,2011/09/10,"maison, science-fiction","maison (#500), science-fiction (#492)","read","Assez confus au début mais s'améliore bien sur la suite","","","","","",0,,,,,
9444415,"La machine à explorer le temps","H.G. Wells","Wells, H.G.","Willi Glasauer, Henry D. Davray",="2070630129",="9782070630127",3,"3.74"," Paris : Gallimard-Jeunesse","","",2010,1888,,2010/10/09,"science-fiction, maison","science-fiction (#263), maison (#180)","read",,"",,,,,0,,,,,
9214427,"Mindstar (Greg Mandel, #1)","Peter F. Hamilton","Hamilton, Peter F.","",="2811202900",="9782811202903",4,"3.79",,,"603",,1993,2011/08/27,2011/08/18,"maison, science-fiction","maison (#498), science-fiction (#490)","read",,"",,,,,0,,,,,
2220838,"Des milliards de tapis de cheveux","Andreas Eschbach","Eschbach, Andreas","",="2290330132",="9782290330135",4,"4.08","J'ai Lu","Mass Market Paperback","",2004,1996,2011/08/19,2011/08/14,"maison, science-fiction","maison (#492), science-fiction (#488)","read",,"",,,,,0,,,,,
7387504,"Beginning Java EE 6 with Glass Fish 3","Antonio Goncalves","Goncalves, Antonio","",="143022889X",="9781430228899",5,"3.38","Apress","Paperback","508",2010,2009,,2011/08/15,"maison, technique","maison (#497), technique (#9)","read",,"",,,,,0,,,,,
6767361,"Beginning Java EE 6 Platform with GlassFish 3: From Novice to Professional","Antonio Goncalves","Goncalves, Antonio","",="1430219548",="9781430219545",4,"3.38","Apress","Paperback","478",2009,2009,,2011/08/13,"technique, maison","technique (#3), maison (#487)","read",,"",,,,,0,,,,,
5628357,"Comment Leur Dire ...: La Process Communication","Gérard Collignon","Collignon, Gérard","Taibi Kahler",="2100490133",="9782100490134",5,"4.33","InterEditions",,"204",2005,2005,,2011/08/14,"maison, technique","maison (#494), technique (#6)","read",,"",,,,,0,,,,,
2555204,"Les Depossedes","Ursula K. Le Guin","Guin, Ursula K. Le","",="2253113158",="9782253113157",4,"4.11","Livre de Poche","Paperback","",2006,1974,2011/07/05,2011/05/03,"science-fiction, maison","science-fiction (#486), maison (#489)","read",,"",,,,,0,,,,,
116410,"Axis","Robert Charles Wilson","Wilson, Robert Charles","",="0765309394",="9780765309396",4,"3.33","Tor Books","Hardcover","304",2007,2007,,2011/04/30,"to-read, maison, science-fiction","to-read (#2), maison (#488), science-fiction (#487)","to-read",,"",,,,,0,,,,,
11313000,"Forteresse","Georges Panchard","Panchard, Georges","",="2253089893",="9782253089896",4,"3.67","Livre de Poche","Mass Market Paperback","",2009,2005,,2011/08/14,"maison, science-fiction","maison (#493), science-fiction (#489)","read","Complexe mais intéressant. Le puzzle se met en place au fur et à mesure. Les dernières pages livrent des clés mais j'ai oublié trop de détails en cours de route pour être sûre d'avoir bien remonté le puzzle. Demande une deuxième lecture.","","","","","",0,,,,,
6518085,"Pro Git","Scott Chacon","Chacon, Scott","",="1430218339",="9781430218333",0,"4.01","Apress","Paperback","265",2009,2009,,2011/08/13,"currently-reading, technique, maison","currently-reading (#4), technique (#1), maison (#485)","currently-reading",,"",,,,,0,,,,,
6863676,"Pro Hadoop","Jason Venner","Venner, Jason","",="1430219424",="9781430219422",0,"2.75","Apress","Paperback","407",2009,2009,,2011/08/13,"currently-reading, technique, maison","currently-reading (#3), technique (#2), maison (#486)","currently-reading",,"",,,,,0,,,,,
6564127,"Le Gouffre De L'absolution","Alastair Reynolds","Reynolds, Alastair","Dominique Haas",="2266169017",="9782266169011",0,"3.93","Pocket",,"1181",2007,2003,,2011/08/06,"currently-reading, science-fiction, maison","currently-reading (#2), science-fiction (#485), maison (#484)","currently-reading",,"",,,,,0,,,,,
9483798,"Message De L'univers","David Brin","Brin, David","",="2266049828",="9782266049825",2,"3.00","Presses pocket",,"281",1992,1992,2011/08/06,2010/10/10,"science-fiction, maison","science-fiction (#434), maison (#206)","read","","","Terre #2","","","",0,,,,,
1258136,"Un Feu Sur L'abîme","Vernor Vinge","Vinge, Vernor","Guy Abadia",="2221076761",="9782221076767",0,"4.13",,,"",,1992,,2010/10/09,"to-check, science-fiction, maison","to-check (#199), science-fiction (#258), maison (#370)","to-check",,"",,,,,0,,,,,
9483909,"L'Envol de Mars","Greg Bear","Bear, Greg","",="225307215X",="9782253072157",5,"3.73","Livre de Poche","Paperback","670",1999,1993,,2010/10/10,"science-fiction, maison","science-fiction (#440), maison (#29)","read",,"",,,,,0,,,,,
2941772,"L'ombre de la cité d'or","Tad Williams","Williams, Tad","",="2266089730",="9782266089739",4,"4.50","Pocket","Mass Market Paperback","578",2004,1998,,2010/10/09,"science-fiction, maison","science-fiction (#289), maison (#128)","read","","",,,,,0,,,,,
2941771,"Autremonde","Tad Williams","Williams, Tad","",="2266089722",="9782266089722",4,"2.33","Pocket","Mass Market Paperback","635",2003,1996,,2010/10/09,"science-fiction, maison","science-fiction (#288), maison (#127)","read","","",,,,,0,,,,,
221602,"Une forme de guerre ","Iain M. Banks","Banks, Iain M.","",="2253071994",="9782253071990",4,"3.81","Livre de Poche","Paperback","",2010,1987,,2010/10/09,"science-fiction, maison","science-fiction (#307), maison (#68)","read",,"",,,,,0,,,,,
1881840,"Le Dragon Sous La Mer","Frank Herbert","Herbert, Frank","",="2266141899",="9782266141895",4,"3.53","Presses pocket",,"",1993,1956,,2010/10/09,"science-fiction, maison","science-fiction (#125), maison (#143)","read","","",,,,,0,,,,,
9481744,"Dans Le Jardin D'iden","Kage Baker","Baker, Kage","Jacques Collin",="2266136577",="9782266136570",4,"3.81","Pocket",,"412",2004,1997,,2010/10/09,"science-fiction, maison","science-fiction (#25), maison (#140)","read","","",,,,,0,,,,,
9481743,"Coyote Céleste","Kage Baker","Baker, Kage","Jacques Collin",="2266136550",="9782266136556",4,"3.76","Pocket",,"371",2005,1999,,2010/10/09,"science-fiction, maison","science-fiction (#330), maison (#139)","read","","",,,,,0,,,,,
85559,"Robots Et Extra Terrestres D'isaac Asimov. [1 2]","Isaac Asimov","Asimov, Isaac","Cordell Scotten",="2277230944",="9782277230946",0,"4.00",,,"",,1989,,2010/10/10,"to-check, science-fiction, maison","to-check (#247), science-fiction (#422), maison (#202)","to-check",,"",,,,,0,,,,,
1800454,"Autour De La Lune","Jules Verne","Verne, Jules","",="2070330265",="9782070330263",0,"3.55","Livre de Poche","Mass Market Paperback","250",1977,1870,,2010/10/09,"to-check, science-fiction, maison","to-check (#195), science-fiction (#252), maison (#366)","to-check",,"",,,,,0,,,,,
6192814,"La Parabole Du Semeur","Octavia E. Butler","Butler, Octavia E.","Philippe Rouard",="2846260184",="9782846260183",4,"4.11","Au diable Vauvert",,"388",2001,1993,,2010/10/09,"science-fiction, maison","science-fiction (#347), maison (#35)","read","","",,,,,0,,,,,
1646695,"Les légions immortelles","Scott Westerfeld","Westerfeld, Scott","",="2266148656",="9782266148658",0,"3.73","Pocket",,"",2006,2003,,2010/10/09,"science-fiction, maison, to-read","science-fiction (#430), maison (#414), to-read (#3)","to-read","","",,,,,0,,,,,
7708747,"Spin","Robert Charles Wilson","Wilson, Robert Charles","",="2070407489",="9782070407484",4,"3.96","Gallimard","Mass Market Paperback","624",2010,2005,2011/04/30,2011/04/18,"science-fiction, maison","science-fiction (#483), maison (#482)","read",,"",,,,,0,,,,,
9482296,"Source Étoilée: Une Aventure D'anthony Villiers","Alexei Panshin","Panshin, Alexei","",="2702410723",="9782702410721",0,"4.06","Librairie des Champs-Élysées",,"251",1980,1968,,2010/10/09,"to-check, science-fiction, maison","to-check (#133), science-fiction (#171), maison (#304)","to-check",,"",,,,,0,,,,,
57176,"Temps fort","C.J. Cherryh","Cherryh, C.J.","",="2277234176",="9782277234173",0,"3.74","J'ai lu","Mass Market Paperback","441",1993,,,2010/10/09,"to-check, science-fiction, maison","to-check (#45), science-fiction (#64), maison (#222)","to-check",,"",,,,,0,,,,,
8079199,"L'héritage De L'armageddon","David Weber","Weber, David","Lucas Moreno",="2841723216",="9782841723218",3,"4.14",,,"",,1993,,2010/10/09,"science-fiction, maison","science-fiction (#353), maison (#188)","read",,"",,,,,0,,,,,
8079196,"La Lune Des Mutins (French Edition)","David Weber","Weber, David","Arnaud Regnauld de la Soudière",="2841722813",="9782841722815",3,"4.13",,,"",,1991,,2010/10/09,"science-fiction, maison","science-fiction (#261), maison (#156)","read","","",,,,,0,,,,,
1881828,"La BarriÃ¨re Santaroga (French Edition)","Frank Herbert","Herbert, Frank","",="2266141910",="9782266141918",4,"3.56",,,"",,1968,2011/01/07,2011/01/07,"science-fiction, maison","science-fiction (#478), maison (#478)","read",,"",,,,,0,,,,,
